time_x	cp_y
2271	0.00157
2272	7.46228E-4
2273	9.29928E-4
2274	-8.46607E-4
2275	-0.0017
2276	-6.79676E-4
2277	-5.16211E-4
2278	-5.55895E-4
2279	5.03962E-4
2280	9.03819E-4
2281	-2.96324E-4
2282	-9.16467E-4
2283	-0.0013
2284	-7.53453E-4
2285	0.00146
2286	0.00377
2287	0.00583
2288	0.00645
2289	0.00326
2290	-0.00104
2291	-0.00353
2292	-0.006
2293	-0.00683
2294	-0.00532
2295	-0.00291
2296	-0.00135
2297	2.11542E-4
2298	0.00137
2299	0.0026
2300	0.00298
2301	0.00284
2302	0.00301
2303	0.00391
2304	0.00429
2305	0.00497
2306	0.00448
2307	0.00419
2308	0.00135
2309	-2.86712E-4
2310	-0.00554
2311	-0.01105
2312	-0.01613
2313	-0.01638
2314	-0.01467
2315	-0.00928
2316	-0.00211
2317	0.0054
2318	0.00864
2319	0.00918
2320	0.00854
2321	0.00785
2322	0.00634
2323	0.00537
2324	0.00365
2325	0.00395
2326	0.00218
2327	1.83326E-4
2328	-0.00132
2329	-0.00183
2330	-0.00383
2331	-0.00423
2332	-0.00608
2333	-0.00526
2334	-0.00337
2335	1.14259E-4
2336	0.00178
2337	0.00341
2338	0.0015
2339	-9.81013E-4
2340	-0.00379
2341	-0.00407
2342	-0.00212
2343	5.57893E-4
2344	-0.00222
2345	-0.00776
2346	-0.01064
2347	-0.01361
2348	-0.01712
2349	-0.01417
2350	-0.00723
2351	-0.00278
2352	0.00147
2353	0.00762
2354	0.01229
2355	0.01485
2356	0.01625
2357	0.01636
2358	0.0137
2359	0.01072
2360	0.00752
2361	0.00456
2362	0.00247
2363	0.00268
2364	0.00308
2365	0.00343
2366	0.00367
2367	0.00224
2368	-1.17627E-5
2369	-0.00105
2370	-0.00131
2371	-0.00114
2372	-8.88749E-4
2373	0.00128
2374	0.00219
2375	0.0012
2376	4.38489E-4
2377	8.57684E-5
2378	-0.0017
2379	-0.00374
2380	-0.0046
2381	-0.00422
2382	-0.00296
2383	-0.00252
2384	-0.00141
2385	-1.48914E-4
2386	-8.47178E-4
2387	1.4559E-5
2388	8.86295E-4
2389	1.89766E-4
2390	1.44691E-4
2391	7.49617E-4
2392	3.34542E-4
2393	5.09468E-4
2394	0.00218
2395	0.003
2396	0.00283
2397	0.00245
2398	0.00237
2399	0.00145
2400	8.04617E-4
2401	9.07446E-4
2402	3.30276E-4
2403	-7.26895E-4
2404	-0.00211
2405	-0.00164
2406	-0.00161
2407	-0.00102
2408	7.44127E-4
2409	0.00374
2410	0.00385
2411	0.00351
2412	0.00333
2413	0.00222
2414	3.84968E-4
2415	-0.0017
2416	-0.00223
2417	-0.00268
2418	-0.00195
2419	-0.00197
2420	-2.79781E-4
2421	0.00118
2422	0.00257
2423	0.00269
2424	0.00336
2425	0.00219
2426	0.00173
2427	0.00127
2428	2.08845E-4
2429	-2.1278E-4
2430	3.6656E-4
2431	-0.00101
2432	-0.00287
2433	-0.0031
2434	-0.00359
